Abigail Breslin;1996;
Adam Driver;1983;
Adolph Caesar;1933;1986
Adolphe Menjou;1890;1963
Adriana Barraza;1956;
Adrien Brody;1973;
Agnes Moorehead;1900;1974
Akim Tamiroff;1899;1972
Al Pacino;1940;
Alan Alda;1936;
Alan Arkin;1934;2023
Alan Bates;1934;2003
Albert Brooks;1947;
Albert Finney;1936;2019
Alec Baldwin;1958;
Alec Guinness;1914;2000
Alexander Knox;1907;1995
Alfre Woodard;1952;
Alfred Lunt;1892;1977
Ali MacGraw;1939;
Alice Brady;1892;1939
Alicia Vikander;1988;
Aline MacMahon;1899;1991
Allison Janney;1959;
Amanda Seyfried;1985;
America Ferrera;1984;
Amy Adams;1974;
Amy Irving;1953;
Amy Madigan;1950;
Amy Ryan;1968;
Ana de Armas;1988;
Andra Day;1984;
Andrea Leeds;1913;1984
Andrea Riseborough;1981;
Andrew Garfield;1983;
Andy Garcia;1956;
Angela Bassett;1958;
Angela Lansbury;1925;2022
Angelina Jolie;1975;
Anjelica Huston;1951;
Ann Blyth;1928;
Ann Harding;1902;1981
Ann Sothern;1909;2001
Ann-Margret;1941;
Anna Kendrick;1985;
Anna Magnani;1908;1973
Anna Paquin;1982;
Anne Archer;1947;
Anne Bancroft;1931;2005
Anne Baxter;1923;1985
Anne Hathaway;1982;
Anne Ramsey;1929;1988
Anne Revere;1903;1990
Anne Shirley;1918;1993
Annette Bening;1958;
Anthony Franciosa;1928;2006
Anthony Hopkins;1937;
Anthony Perkins;1932;1992
Anthony Quayle;1913;1989
Anthony Quinn;1915;2001
Antonio Banderas;1960;
Ariana DeBose;1991;
Ariana Grande;1993;
Armin Mueller-Stahl;1930;
Art Carney;1918;2003
Arthur Hunnicutt;1910;1979
Arthur Kennedy;1914;1990
Arthur O'Connell;1908;1981
Audrey Hepburn;1929;1993
Austin Butler;1991;
Ava Gardner;1922;1990
Barbara Barrie;1931;
Barbara Bel Geddes;1922;2005
Barbara Harris;1935;2018
Barbara Hershey;1948;
Barbara O'Neil;1910;1980
Barbara Stanwyck;1907;1990
Barbra Streisand;1942;
Barkhad Abdi;1985;
Barry Fitzgerald;1888;1961
Barry Keoghan;1992;
Basil Rathbone;1892;1967
Beah Richards;1920;2000
Beatrice Straight;1914;2001
Ben Johnson;1989;
Ben Kingsley;1943;
Benedict Cumberbatch;1976;
Benicio Del Toro;1967;
Bessie Love;1898;1986
Betsy Blair;1923;2009
Bette Davis;1908;1989
Bette Midler;1945;
Betty Compson;1897;1974
Beulah Bondi;1889;1981
Bill Murray;1950;
Bill Nighy;1949;
Billie Burke;1884;1970
Billy Bob Thornton;1955;
Bing Crosby;1903;1977
Bob Hoskins;1942;2014
Bobby Darin;1936;1973
Bonita Granville;1923;1988
Brad Dourif;1950;
Brad Pitt;1963;
Bradley Cooper;1975;
Brandon De Wilde;1942;1972
Brenda Blethyn;1946;
Brenda Fricker;1945;
Brenda Vaccaro;1939;
Brendan Fraser;1968;
Brendan Gleeson;1955;
Brian Aherne;1902;1986
Brian Donlevy;1901;1972
Brian Tyree Henry;1982;
Brie Larson;1989;
Broderick Crawford;1911;1986
Bruce Davison;1946;
Bruce Dern;1936;
Bryan Cranston;1956;
Burgess Meredith;1907;1997
Burl Ives;1909;1995
Burt Lancaster;1913;1994
Burt Reynolds;1936;2018
Burt Young;1940;2023
Bérénice Bejo;1976;
Candice Bergen;1946;
Candy Clark;1947;
Cara Williams;1925;2021
Carey Mulligan;1985;
Carol Channing;1921;2019
Carol Kane;1952;
Carole Lombard;1908;1942
Carolyn Jones;1941;2018
Carrie Snodgress;1945;2004
Carroll Baker;1931;
Cary Grant;1904;1986
Casey Affleck;1975;
Catalina Sandino Moreno;1981;
Cate Blanchett;1969;
Catherine Burns;1945;2019
Catherine Deneuve;1943;
Catherine Keener;1959;
Catherine Zeta-Jones;1969;
Cathy Moriarty;1960;
Cecil Kellaway;1890;1973
Celeste Holm;1917;2012
Celia Johnson;1908;1982
Chadwick Boseman;1976;2020
Charles Bickford;1891;1967
Charles Boyer;1899;1978
Charles Chaplin;1889;1977
Charles Coburn;1877;1961
Charles Durning;1923;2012
Charles Laughton;1899;1962
Charlize Theron;1975;
Charlotte Rampling;1946;
Charlton Heston;1923;2008
Chazz Palminteri;1952;
Cher;1946;
Chester Morris;1901;1970
Chief Dan George;1899;1981
Chill Wills;1902;1978
Chiwetel Ejiofor;1977;
Chloë Sevigny;1974;
Chris Cooper;1951;
Chris Sarandon;1942;
Christian Bale;1974;
Christine Lahti;1950;
Christoph Waltz;1956;
Christopher Plummer;1929;2021
Christopher Walken;1943;
Ciarán Hinds;1953;
Cicely Tyson;1924;2021
Cillian Murphy;1976;
Claire Trevor;1910;2000
Clark Gable;1901;1960
Claude Rains;1889;1967
Claudette Colbert;1903;1996
Cliff Robertson;1923;2011
Clifton Webb;1889;1966
Clint Eastwood;1930;
Clive Owen;1964;
Cloris Leachman;1926;2021
Colette Marchand;1925;2015
Colin Farrell;1938;
Colin Firth;1960;
Colman Domingo;1969;
Corinne Griffith;1894;1979
Cornel Wilde;1912;1989
Cuba Gooding Jr.;1968;
Cynthia Erivo;1987;
Da'Vine Joy Randolph;1986;
Dan Aykroyd;1952;
Dan Dailey;1915;1978
Dan O'Herlihy;1919;2005
Daniel Day-Lewis;1957;
Daniel Kaluuya;1989;
Daniel Massey;1933;1998
Danielle Brooks;1989;
Danny Aiello;1933;2019
David Niven;1910;1983
David Paymer;1954;
David Strathairn;1949;
Dean Jagger;1978;
Dean Stockwell;1936;2021
Debbie Reynolds;1932;2016
Deborah Kerr;1921;2007
