year_ceremony;canon_category;name;film;winner
1928;ACTOR IN A LEADING ROLE;Richard Barthelmess;The Noose;False
1928;ACTOR IN A LEADING ROLE;Richard Barthelmess;The Patent Leather Kid;False
1928;ACTOR IN A LEADING ROLE;Emil Jannings;The Last Command;True
1928;ACTOR IN A LEADING ROLE;Emil Jannings;The Way of All Flesh;True
1928;ACTRESS IN A LEADING ROLE;Louise Dresser;A Ship Comes In;False
1928;ACTRESS IN A LEADING ROLE;Janet Gaynor;7th Heaven;True
1928;ACTRESS IN A LEADING ROLE;Janet Gaynor;Street Angel;True
1928;ACTRESS IN A LEADING ROLE;Janet Gaynor;Sunrise;True
1928;ACTRESS IN A LEADING ROLE;Gloria Swanson;Sadie Thompson;False
1929;ACTOR IN A LEADING ROLE;George Bancroft;Thunderbolt;False
1929;ACTOR IN A LEADING ROLE;Warner Baxter;In Old Arizona;True
1929;ACTOR IN A LEADING ROLE;Chester Morris;Alibi;False
1929;ACTOR IN A LEADING ROLE;Paul Muni;The Valiant;False
1929;ACTOR IN A LEADING ROLE;Lewis Stone;The Patriot;False
1929;ACTRESS IN A LEADING ROLE;Ruth Chatterton;Madame X;False
1929;ACTRESS IN A LEADING ROLE;Betty Compson;The Barker;False
1929;ACTRESS IN A LEADING ROLE;Jeanne Eagels;The Letter;False
1929;ACTRESS IN A LEADING ROLE;Corinne Griffith;The Divine Lady;False
1929;ACTRESS IN A LEADING ROLE;Bessie Love;The Broadway Melody;False
1929;ACTRESS IN A LEADING ROLE;Mary Pickford;Coquette;True
1930;ACTOR IN A LEADING ROLE;George Arliss;Disraeli;True
1930;ACTOR IN A LEADING ROLE;George Arliss;The Green Goddess;False
1930;ACTOR IN A LEADING ROLE;Wallace Beery;The Big House;False
1930;ACTOR IN A LEADING ROLE;Maurice Chevalier;The Big Pond;False
1930;ACTOR IN A LEADING ROLE;Maurice Chevalier;The Love Parade;False
1930;ACTOR IN A LEADING ROLE;Ronald Colman;Bulldog Drummond;False
1930;ACTOR IN A LEADING ROLE;Ronald Colman;Condemned;False
1930;ACTOR IN A LEADING ROLE;Lawrence Tibbett;The Rogue Song;False
1930;ACTRESS IN A LEADING ROLE;Nancy Carroll;The Devil's Holiday;False
1930;ACTRESS IN A LEADING ROLE;Ruth Chatterton;Sarah and Son;False
1930;ACTRESS IN A LEADING ROLE;Greta Garbo;Anna Christie;False
1930;ACTRESS IN A LEADING ROLE;Greta Garbo;Romance;False
1930;ACTRESS IN A LEADING ROLE;Norma Shearer;The Divorcee;True
1930;ACTRESS IN A LEADING ROLE;Norma Shearer;Their Own Desire;False
1930;ACTRESS IN A LEADING ROLE;Gloria Swanson;The Trespasser;False
1931;ACTOR IN A LEADING ROLE;Lionel Barrymore;A Free Soul;True
1931;ACTOR IN A LEADING ROLE;Jackie Cooper;Skippy;False
1931;ACTOR IN A LEADING ROLE;Richard Dix;Cimarron;False
1931;ACTOR IN A LEADING ROLE;Fredric March;The Royal Family of Broadway;False
1931;ACTOR IN A LEADING ROLE;Adolphe Menjou;The Front Page;False
1931;ACTRESS IN A LEADING ROLE;Marlene Dietrich;Morocco;False
1931;ACTRESS IN A LEADING ROLE;Marie Dressler;Min and Bill;True
1931;ACTRESS IN A LEADING ROLE;Irene Dunne;Cimarron;False
1931;ACTRESS IN A LEADING ROLE;Ann Harding;Holiday;False
1931;ACTRESS IN A LEADING ROLE;Norma Shearer;A Free Soul;False
1932;ACTOR IN A LEADING ROLE;Wallace Beery;The Champ;True
1932;ACTOR IN A LEADING ROLE;Alfred Lunt;The Guardsman;False
1932;ACTOR IN A LEADING ROLE;Fredric March;Dr. Jekyll and Mr. Hyde;True
1932;ACTRESS IN A LEADING ROLE;Marie Dressler;Emma;False
1932;ACTRESS IN A LEADING ROLE;Lynn Fontanne;The Guardsman;False
1932;ACTRESS IN A LEADING ROLE;Helen Hayes;The Sin of Madelon Claudet;True
1933;ACTOR IN A LEADING ROLE;Leslie Howard;Berkeley Square;False
1933;ACTOR IN A LEADING ROLE;Charles Laughton;The Private Life of Henry VIII;True
1933;ACTOR IN A LEADING ROLE;Paul Muni;I Am a Fugitive from a Chain Gang;False
1933;ACTRESS IN A LEADING ROLE;Katharine Hepburn;Morning Glory;True
1933;ACTRESS IN A LEADING ROLE;May Robson;Lady for a Day;False
1933;ACTRESS IN A LEADING ROLE;Diana Wynyard;Cavalcade;False
